# 扫地机器人+扫拖一体机器人 耗材与配件指南110条（分耗材清单/更换周期/选购建议/安装方法/配件清洁/购买渠道，覆盖滤网、边刷、主刷、拖布、电池、集尘袋等）
## 常用耗材清单（20条）
28. 水箱滤芯更换周期：一般3-6个月，水质差的地方缩短周期。
29. 清洁液添加：每次拖地按比例添加，或使用自动添加功能（全能基站）。
30. 滤网清洗频率：每周拍打除尘，每月水洗一次（可水洗滤网），洗后晾干再用。
31. 边刷清理频率：每周清理缠绕毛发，毛发多时每2-3天清理一次。
32. 主刷清理频率：每周至少清理一次缠绕物，宠物家庭每周2-3次。
33. 拖布清洗频率：每次拖地后清洗，自动洗拖布机型按基站提示执行。
34. 尘盒清理频率：每次清扫后或尘盒过半时清理，防止吸力下降。
35. 充电触点清洁频率：每月擦拭一次，保持导电良好。
36. 传感器清洁频率：每月用干布擦拭导航传感器、悬崖传感器。
37. 机身清洁频率：每月全面清洁一次机身和底盘。
38. 万向轮清理频率：每月清理缠绕的毛发和杂物。
39. 基站清洗频率：每月清洗基站底盘、清洗槽、污水箱。
40. 驱动轮检查频率：每月检查磨损和缠绕情况。
41. 防撞条检查频率：每月检查是否有松动、破损。
42. 集尘袋检查频率：每月检查是否装满，满则更换。
43. 密封圈检查频率：每季度检查尘盒、水箱密封圈是否老化。
44. 固件检查频率：每月检查APP是否有固件更新，及时升级。
45. 深度保养频率：每季度做一次全机深度保养（拆洗+耗材检查+螺丝紧固）。
## 选购与兼容（20条）
46. 耗材选购优先选择原厂配件，兼容性好、质量有保障。
47. 第三方配件价格低但可能存在尺寸、材质差异，选购时认准适配机型。
48. 购买前在商品页确认"适配型号"，不确定时咨询客服。
49. 边刷注意左右（L/R）型号，左右边刷形状不同，不能互换。
50. 滤网注意是否可水洗，不可水洗的滤网水洗后会损坏。
51. 拖布注意安装方式（粘贴/卡扣/魔术贴），不同机型不通用。
52. 电池更换务必使用原厂或认证电池，劣质电池有安全隐患。
53. 集尘袋注意容量和接口形状，型号不匹配会漏灰。
54. 清洁液选择中性或专用配方，避免腐蚀水箱和管路。
55. 选购耗材时注意区分"消耗品"和"耐用件"，边刷滤网是消耗品，驱动轮是耐用件。
56. 优惠时囤货注意保质期：滤网、拖布无严格保质期，电池不建议囤积（会自放电老化）。
57. 官方商城、旗舰店购买耗材更可靠，谨防假冒伪劣。
58. 收到耗材后核对包装上的型号与机型一致再拆封。
59. 保修期内更换耗材建议使用原厂件，非原厂件损坏机器可能影响保修。
60. 边刷、滤网等常用耗材建议常备一套备用，避免断货影响使用。
61. 有宠物家庭可关注"宠物专用滤网"或"防缠绕主刷"等升级配件。
62. 木地板家庭可选购"地板护理拖布"或"木地板专用清洁液"。
63. 部分机型支持"耗材寿命提醒"，在APP中查看剩余寿命，及时更换。
64. 更换耗材后可在APP中"重置耗材寿命"（如支持），保持提醒准确。
65. 耗材价格差异大，选购时综合性价比，不盲目追求最贵或最便宜。
## 安装与更换方法（25条）
66. 更换耗材前先关闭机器人电源，确保安全。
67. 边刷更换：按下或拧下旧边刷，对准卡槽装上新边刷，注意L/R标识，按压到位。
68. 边刷装反会导致清扫效率下降，安装后转动检查是否顺畅。
69. 主刷更换：打开底部盖板，取出旧主刷，清理两端轴承座，装上新主刷并盖紧盖板。
70. 主刷盖板未盖紧会导致机器人报"主刷异常"。
71. 滤网更换：打开尘盒，取出旧滤网，清理尘盒内部，装上新滤网并确认卡紧。
72. 滤网装反会影响过滤效果，注意箭头方向。
73. 拖布更换：撕下或解开旧拖布，清理拖布安装区，装上新拖布并压紧。
74. 拖布安装不贴合会导致拖地不均，安装后检查四角是否平整。
75. 电池更换：拆下电池盖板，断开排线，取出旧电池，装上新电池并接好排线。
76. 电池排线未插紧会导致开机异常或充电异常。
77. 集尘袋更换：打开基站集尘仓，捏紧袋口卡扣取出旧袋，放入新袋并压实。
78. 集尘袋取出时务必捏紧袋口，防止灰尘散落。
79. 万向轮更换：用工具撬出旧万向轮，清理轮槽，装上新万向轮按压到位。
80. 水箱滤芯更换：取出水箱，拧开滤芯仓，更换新滤芯后装回。
81. 清洁液添加：按说明书比例加入清水箱，不要直接倒在拖布上。
82. 更换耗材后建议启动机器人运行1-2分钟，确认安装正常无异响。
83. 所有拆装操作参考说明书图示，不确定时联系售后指导。
84. 拆卸过程中保存好螺丝和小零件，防止丢失。
85. 更换电池等涉及电路的操作，建议由专业人员或售后完成。
86. 拖布支架更换：拆下旧支架，对准卡扣装新支架，确认固定牢固。
87. 尘盒密封圈更换：取出旧密封圈，沿槽位装入新密封圈，确保无扭曲。
88. 更换后耗材的初次使用，建议先试运行观察效果。
89. 若更换后出现异常报警，检查是否安装到位或型号是否匹配。
90. 售后更换的配件，保留好更换记录和保修凭证。
## 耗材清洁与保养（15条）
91. 边刷清洁：用镊子或剪刀清理缠绕毛发，刷毛变形时可用温水泡软恢复（轻微变形）。
92. 主刷清洁：用清洁刷顺刷毛方向清理，缠绕严重时用剪刀小心剪开。
93. 滤网清洁：可水洗滤网用清水冲洗（不要搓洗），晾干24小时再装回；不可水洗滤网用刷子轻刷。
94. 拖布清洁：用清水或中性洗涤剂手洗，不要用柔顺剂和漂白剂。
95. 尘盒清洁：倒掉垃圾后用水冲洗，晾干后再装回，防止发霉。
96. 水箱清洁：清水冲洗内外，污水箱重点清洗浮球感应区。
97. 充电触点清洁：用干布或橡皮擦擦拭，去除氧化层。
98. 传感器清洁：用干棉签轻轻擦拭，不要用湿布。
99. 基站清洁：断电后用湿布擦拭底盘，清洗槽定期用清洗刷清理。
100. 万向轮清洁：用镊子清理轮轴缠绕物，必要时拆下清洗。
101. 所有清洁完成后确保部件完全晾干再装回使用。
102. 清洁剂选择：使用中性清洁剂，避免强酸碱腐蚀塑料件。
103. 清洁频率与环境相关，粉尘大、宠物家庭适当增加清洁频率。
104. 清洁过程中注意不要损坏密封圈和卡扣。
105. 定期清洁可延长耗材寿命，降低更换成本。
## 购买渠道与省钱技巧（5条）
106. 购买渠道：官方商城、品牌天猫/京东旗舰店、授权专卖店，售后有保障。
107. 大促节点（618、双11）购买耗材套装更划算，可提前加入购物车比价。
108. 关注官方"耗材订阅/定期送"服务（部分品牌提供），省心且常有优惠。
109. 第三方兼容耗材性价比高，但先买一套试用确认适配再批量购买。
110. 保留购机发票和耗材购买记录，售后保修和退换货需要用到。
